area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.024475524
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,R,All Wired,0.951048951,0.951048951,0.951048951,0.951048951,0.951048951,0.951048951
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,All Wired,0.024475524,0.024475524,0.024475524,0.024475524,0.024475524,0.024475524
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.951048951,0.951048951,0.951048951
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.024475524,0.024475524,0.024475524
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.951048951,0.951048951,0.951048951
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.024475524,0.024475524,0.024475524
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,R,Copper,0.000000000,0,0,0,0,0
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,Copper,0,0,0,0,0,0.000000000
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,R,Cable/Fiber,0.951048951,0.951048951,0.951048951,0.951048951,0.951048951,0.951048951
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,Cable/Fiber,0.024475524,0.024475524,0.024475524,0.024475524,0.024475524,0.024475524
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,R,Cable,0,0,0,0,0.000000000,0
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,Cable,0.000000000,0,0,0,0,0
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,R,Fiber,0.951048951,0.951048951,0.951048951,0.951048951,0.951048951,0.951048951
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,Fiber,0.024475524,0.024475524,0.024475524,0.024475524,0.024475524,0.024475524
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,R,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,R,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,R,Other,0,0,0.000000000,0,0,0
Total,Census Place,2427375,Fairmount,"Fairmount, MD",286,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.988853503
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.992038217
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.988853503
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.992038217
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.988853503
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.992038217
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.988853503
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.992038217
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,Copper,0,0.000000000,0,0,0,0
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,Copper,0,0.000000000,0,0,0,0
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.988853503
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.992038217
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,Cable,0.995222930,0.995222930,0.995222930,0.995222930,0.995222930,0.988853503
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,Cable,0.995222930,0.995222930,0.995222930,0.995222930,0.995222930,0.988853503
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,Fiber,0.944267516,0.944267516,0.944267516,0.944267516,0.944267516,0
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,Fiber,0.971337580,0.971337580,0.971337580,0.971337580,0.971337580,0.585987261
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,All Fixed Wireless,0.964968153,0.933121019,0.933121019,0.437898089,0,0.000000000
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,All Fixed Wireless,0.995222930,0.960191083,0.958598726,0.429936306,0.001592357,0
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,Unlicensed Fixed Wireless,0,0,0.000000000,0,0,0
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,Licensed Fixed Wireless,0.964968153,0.933121019,0.933121019,0.437898089,0,0.000000000
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,Licensed Fixed Wireless,0.995222930,0.960191083,0.958598726,0.429936306,0.001592357,0
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,R,Other,0,0,0.000000000,0,0,0
Total,Census Place,2427400,Fairmount Heights,"Fairmount Heights, MD",628,B,Other,0,0,0,0.000000000,0,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,All Wired,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,All Wired,0.975961538,0.975961538,0.975961538,0.975961538,0.975961538,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,Any Terrestrial,0.980769231,0.971153846,0.971153846,0.966346154,0.961538462,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,Any Terrestrial,0.995192308,0.995192308,0.995192308,0.975961538,0.975961538,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,All Wired and Licensed Fixed Wireless,0.980769231,0.971153846,0.971153846,0.966346154,0.961538462,0.000000000
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,All Wired and Licensed Fixed Wireless,0.995192308,0.995192308,0.995192308,0.975961538,0.975961538,0.000000000
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,Copper,0.000000000,0,0,0,0,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,Copper,0.000000000,0,0,0,0,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,Cable/Fiber,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0.000000000
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,Cable/Fiber,0.975961538,0.975961538,0.975961538,0.975961538,0.975961538,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,Cable,0.961538462,0.961538462,0.961538462,0.961538462,0.961538462,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,Cable,0.975961538,0.975961538,0.975961538,0.975961538,0.975961538,0.000000000
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,Fiber,0,0.000000000,0,0,0,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,Fiber,0,0.000000000,0,0,0,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,All Fixed Wireless,0.807692308,0.365384615,0.350961538,0.149038462,0.000000000,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,All Fixed Wireless,0.826923077,0.197115385,0.187500000,0,0,0.000000000
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,Unlicensed Fixed Wireless,0.004807692,0.004807692,0.004807692,0.000000000,0,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,Licensed Fixed Wireless,0.807692308,0.360576923,0.346153846,0.149038462,0,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,Licensed Fixed Wireless,0.826923077,0.197115385,0.187500000,0,0,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,R,Other,0.000000000,0,0,0,0,0
Total,Census Place,2427425,Fairplay,"Fairplay, MD",208,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,All Wired,0.838709677,0.838709677,0.838709677,0.838709677,0.838709677,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,All Wired,0.870967742,0.870967742,0.870967742,0.870967742,0.870967742,0.000000000
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,Any Terrestrial,0.967741935,0.967741935,0.967741935,0.870967742,0.838709677,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,Any Terrestrial,1.000000000,1.000000000,0.967741935,0.903225806,0.870967742,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,All Wired and Licensed Fixed Wireless,0.967741935,0.967741935,0.967741935,0.870967742,0.838709677,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,0.967741935,0.903225806,0.870967742,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,Copper,0.000000000,0,0,0,0,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,Copper,0,0,0,0,0.000000000,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,Cable/Fiber,0.838709677,0.838709677,0.838709677,0.838709677,0.838709677,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,Cable/Fiber,0.870967742,0.870967742,0.870967742,0.870967742,0.870967742,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,Cable,0.838709677,0.838709677,0.838709677,0.838709677,0.838709677,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,Cable,0.870967742,0.870967742,0.870967742,0.870967742,0.870967742,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,Fiber,0.000000000,0,0,0,0,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,Fiber,0,0.000000000,0,0,0,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,All Fixed Wireless,0.967741935,0.967741935,0.967741935,0.354838710,0,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,All Fixed Wireless,1.000000000,1.000000000,0.967741935,0.387096774,0,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,Licensed Fixed Wireless,0.967741935,0.967741935,0.967741935,0.354838710,0,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,Licensed Fixed Wireless,1.000000000,1.000000000,0.967741935,0.387096774,0,0
Total,Census Place,2427500,Fairview,"Fairview, MD",31,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,2427500,Fairview,"Fairview, MD",31,B,Other,0,0,0,0.000000000,0,0
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.892376682
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.892376682
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,All Wired,0.998573176,0.998573176,0.998573176,0.998573176,0.998573176,0.892376682
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,All Wired,0.998573176,0.998573176,0.998573176,0.998573176,0.998573176,0.892376682
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,Any Terrestrial,0.999184672,0.999184672,0.999184672,0.998777008,0.998573176,0.892376682
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,Any Terrestrial,0.999796168,0.999796168,0.999796168,0.999184672,0.998573176,0.892376682
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,All Wired and Licensed Fixed Wireless,0.999184672,0.999184672,0.999184672,0.998777008,0.998573176,0.892376682
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,All Wired and Licensed Fixed Wireless,0.999796168,0.999796168,0.999796168,0.999184672,0.998573176,0.892376682
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,Copper,0,0,0,0,0,0.000000000
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,Copper,0.000000000,0,0,0,0,0
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,Cable/Fiber,0.998573176,0.998573176,0.998573176,0.998573176,0.998573176,0.892376682
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,Cable/Fiber,0.998573176,0.998573176,0.998573176,0.998573176,0.998573176,0.892376682
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,Cable,0.970648186,0.970648186,0.970648186,0.970648186,0.970648186,0.829392581
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,Cable,0.970648186,0.970648186,0.970648186,0.970648186,0.970648186,0.829392581
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,Fiber,0.983489605,0.983489605,0.983489605,0.983489605,0.983489605,0.761108846
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,Fiber,0.986954749,0.986954749,0.986954749,0.983489605,0.983489605,0.761108846
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,All Fixed Wireless,0.960048920,0.702405218,0.694659600,0.259478190,0,0
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,All Fixed Wireless,0.963106400,0.758459030,0.750713412,0.255605381,0.000000000,0
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,Unlicensed Fixed Wireless,0.015083571,0.015083571,0,0.000000000,0,0
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,Unlicensed Fixed Wireless,0.015083571,0.015083571,0,0,0,0
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,Licensed Fixed Wireless,0.959845088,0.694659600,0.694659600,0.259478190,0.000000000,0
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,Licensed Fixed Wireless,0.962902568,0.750713412,0.750713412,0.255605381,0,0
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,R,Other,0.000000000,0,0,0,0,0
Total,Census Place,2427580,Fairwood,"Fairwood, MD",4906,B,Other,0,0.000000000,0,0,0,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.130765573
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.130765573
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,All Wired,0.995958155,0.995958155,0.995958155,0.995958155,0.995958155,0.130765573
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,All Wired,0.995958155,0.995958155,0.995958155,0.995958155,0.995958155,0.130765573
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,Any Terrestrial,0.997860200,0.997622444,0.997622444,0.996671422,0.995958155,0.130765573
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,Any Terrestrial,0.999286733,0.999048978,0.999048978,0.996909177,0.995958155,0.130765573
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,All Wired and Licensed Fixed Wireless,0.997860200,0.997622444,0.997622444,0.996671422,0.995958155,0.130765573
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,All Wired and Licensed Fixed Wireless,0.999286733,0.999048978,0.999048978,0.996909177,0.995958155,0.130765573
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,Copper,0,0,0.000000000,0,0,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,Copper,0,0,0.000000000,0,0,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,Cable/Fiber,0.995958155,0.995958155,0.995958155,0.995958155,0.995958155,0.130765573
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,Cable/Fiber,0.995958155,0.995958155,0.995958155,0.995958155,0.995958155,0.130765573
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,Cable,0.953399905,0.953399905,0.953399905,0.953399905,0.944365193,0.130765573
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,Cable,0.953399905,0.953399905,0.953399905,0.953399905,0.944365193,0.130765573
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,Fiber,0.980979553,0.980979553,0.980979553,0.980979553,0.980979553,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,Fiber,0.980979553,0.980979553,0.980979553,0.980979553,0.980979553,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,All Fixed Wireless,0.889919163,0.830242511,0.830242511,0.552306229,0,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,All Fixed Wireless,0.892772230,0.833571089,0.833571089,0.559676652,0,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,Unlicensed Fixed Wireless,0,0,0.000000000,0,0,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,Licensed Fixed Wireless,0.889919163,0.830242511,0.830242511,0.552306229,0,0.000000000
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,Licensed Fixed Wireless,0.892772230,0.833571089,0.833571089,0.559676652,0,0.000000000
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,R,Other,0.000000000,0,0,0,0,0
Total,Census Place,2427700,Fallston,"Fallston, MD",4206,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.022611233
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.023340627
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,R,All Wired,0.997082422,0.997082422,0.997082422,0.997082422,0.997082422,0.022611233
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,B,All Wired,0.997082422,0.997082422,0.997082422,0.997082422,0.997082422,0.023340627
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.997082422,0.997082422,0.022611233
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.997811816,0.997082422,0.023340627
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.997082422,0.997082422,0.022611233
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.997811816,0.997082422,0.023340627
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,R,Copper,0,0,0,0,0,0.000000000
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,B,Copper,0,0.000000000,0,0,0,0
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,R,Cable/Fiber,0.997082422,0.997082422,0.997082422,0.997082422,0.997082422,0.022611233
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,B,Cable/Fiber,0.997082422,0.997082422,0.997082422,0.997082422,0.997082422,0.023340627
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,R,Cable,0.989059081,0.989059081,0.989059081,0.989059081,0.989059081,0.004376368
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,B,Cable,0.989059081,0.989059081,0.989059081,0.989059081,0.989059081,0.004376368
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,R,Fiber,0.018234865,0.018234865,0.018234865,0.018234865,0.018234865,0.018234865
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,B,Fiber,0.022611233,0.022611233,0.022611233,0.022611233,0.021881838,0.018964260
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2427900,Federalsburg,"Federalsburg, MD",1371,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
