area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,Census Place,2406925,"Berwyn Heights, MD",2.001317500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.947368421
Total,Census Place,2407125,"Bethesda, MD",35.181055000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.994011976,0.997005988,0.913173653
Total,Census Place,2407200,"Betterton, MD",2.738645000,0.000000000,0.000000000,1.000000000,0.923076923,0.923076923,0.423076923,0.615384615,0.346153846
Total,Census Place,2407285,"Bier, MD",3.791970000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.916666667
Total,Census Place,2407375,"Big Pool, MD",0.210665000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2407400,"Big Spring, MD",0.421330000,0.000000000,0.000000000,1.000000000,0.750000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2407625,"Bishopville, MD",8.110602500,0.000000000,0.000000000,1.000000000,0.909090909,1.000000000,0.415584416,0.896103896,0.298701299
Total,Census Place,2407675,"Bivalve, MD",4.529297500,0.000000000,0.000000000,0.674418605,0.069767442,0.302325581,0.023255814,0.302325581,0.023255814
Total,Census Place,2407850,"Bladensburg, MD",2.527980000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2408050,"Bloomington, MD",1.790652500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.882352941,1.000000000,0.823529412
Total,Census Place,2408625,"Boonsboro, MD",8.321267500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2408775,"Bowie, MD",54.878232500,0.000000000,0.000000000,1.000000000,0.990403071,1.000000000,0.982725528,0.996161228,0.875239923
Total,Census Place,2408800,"Bowleys Quarters, MD",16.010540000,0.000000000,0.000000000,1.000000000,0.927631579,0.980263158,0.875000000,0.907894737,0.671052632
Total,Census Place,2408850,"Bowling Green, MD",2.422647500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2408862,"Bowmans Addition, MD",3.159975000,0.000000000,0.000000000,1.000000000,0.633333333,1.000000000,1.000000000,1.000000000,0.966666667
